cik,user,fx_user,ir_user,cp_user,year,dm
2034,1,1,0,0,2002,2002m6
2034,1,1,0,0,2003,2003m6
2034,1,1,1,0,2004,2004m6
2034,1,1,1,0,2005,2005m6
2034,1,1,1,0,2006,2006m6
2034,1,1,1,0,2007,2007m6
2034,1,1,1,0,2008,2008m6
2034,1,1,0,0,2009,2009m6
2034,1,1,0,0,2010,2010m6
2034,1,1,1,0,2011,2011m6
2034,1,1,1,0,2012,2012m6
2034,1,1,1,0,2013,2013m6
2034,1,1,1,0,2014,2014m6
2034,1,1,1,0,2015,2015m6
2034,1,1,1,0,2016,2016m6
2034,1,1,1,0,2017,2017m6
2034,1,1,1,0,2018,2018m6
2062,0,,,,1996,1996m12
2062,0,,,,1997,1997m12
2062,0,0,0,0,1998,1998m12
2062,0,0,0,0,1999,1999m12
2062,0,0,0,0,2000,2000m12
2062,0,0,0,0,2001,2001m12
2062,1,0,1,0,2002,2002m12
2062,1,0,1,0,2003,2003m12
2070,0,0,0,0,1996,1996m6
2070,0,0,0,0,1997,1997m6
2070,0,0,0,0,1998,1998m6
2070,0,0,0,0,1999,1999m6
2070,0,0,0,0,2000,2000m6
2098,0,0,0,0,1996,1996m12
2098,0,0,0,0,1997,1997m12
2098,0,1,0,0,1998,1998m12
2098,0,1,0,0,1999,1999m12
2098,1,1,1,0,2000,2000m12
2098,1,1,1,0,2001,2001m12
2098,1,1,1,0,2002,2002m12
2098,1,1,1,0,2003,2003m12
2098,1,1,1,0,2004,2004m12
2098,1,1,1,0,2005,2005m12
2098,1,1,0,0,2006,2006m12
2098,1,1,0,0,2007,2007m12
2098,0,,,,2008,2008m12
2098,0,0,0,0,2009,2009m12
2098,0,0,0,0,2010,2010m12
2098,0,,,,2011,2011m12
2098,0,,,,2012,2012m12
2098,0,,,,2013,2013m12
2098,0,,,,2014,2014m12
2098,0,,,,2015,2015m12
2098,0,,,,2016,2016m12
2098,0,,,,2017,2017m12
2098,0,,,,2018,2018m12
2098,0,,,,2019,2019m12
2098,0,,,,2020,2020m12
2098,0,,,,2021,2021m12
2098,0,,,,2022,2022m12
2098,0,,,,2023,2023m12
2135,0,,,,1996,1996m6
2135,0,,,,1997,1997m6
2135,0,,,,1998,1998m6
2135,1,0,0,0,1999,1999m6
2135,1,0,0,0,2000,2000m6
2135,1,0,0,0,2001,2001m6
2135,1,0,0,0,2002,2002m6
2135,1,0,0,0,2003,2003m6
2135,0,0,0,0,2004,2004m6
2135,1,0,0,0,2005,2005m6
2135,1,1,0,0,2006,2006m6
2135,1,1,1,0,2007,2007m6
2135,1,1,1,0,2008,2008m6
2135,1,1,1,0,2009,2009m6
2145,0,,,,1996,1996m6
2145,0,,,,1997,1997m6
2178,0,0,0,0,1996,1996m12
2178,0,0,0,0,1997,1997m12
2178,1,0,0,0,1998,1998m12
2178,1,0,0,0,1999,1999m12
2178,1,0,0,0,2000,2000m12
2178,1,0,0,0,2001,2001m12
2178,1,0,0,0,2002,2002m12
2178,1,0,0,0,2003,2003m12
2178,1,0,0,0,2004,2004m12
2178,1,0,0,0,2005,2005m12
2178,1,0,0,0,2006,2006m12
2178,1,0,0,0,2007,2007m12
2178,1,0,0,0,2008,2008m12
2178,1,0,0,1,2009,2009m12
2178,1,0,0,1,2010,2010m12
2178,1,0,0,1,2011,2011m12
2178,1,0,0,1,2012,2012m12
2178,1,0,0,1,2013,2013m12
2178,1,0,0,1,2014,2014m12
2178,1,0,0,1,2015,2015m12
2178,1,0,0,1,2016,2016m12
2178,1,0,0,1,2017,2017m12
2178,1,0,0,1,2018,2018m12
2178,1,0,0,1,2019,2019m12
2178,1,0,0,1,2020,2020m12
2178,1,0,0,1,2021,2021m12
2178,1,0,0,1,2022,2022m12
2178,1,0,0,0,2023,2023m12
2186,0,0,0,0,1996,1996m12
2186,0,0,0,0,1997,1997m12
2186,0,0,1,0,1998,1998m12
2186,0,0,1,0,1999,1999m12
2186,0,0,0,0,2000,2000m12
2186,0,0,0,0,2001,2001m12
2186,0,,,,2002,2002m12
2186,0,0,0,0,2003,2003m12
2186,0,,,,2004,2004m12
2186,0,,,,2005,2005m12
2186,0,,,,2006,2006m12
2186,0,0,0,0,2007,2007m12
2186,0,0,0,0,2008,2008m12
2186,0,,,,2009,2009m12
2186,0,,,,2010,2010m12
2186,0,,,,2011,2011m12
2186,0,,,,2012,2012m12
2186,0,,,,2013,2013m12
2186,0,,,,2014,2014m12
2186,0,0,0,0,2015,2015m12
2186,0,0,0,0,2016,2016m12
2186,0,0,0,0,2017,2017m12
2186,0,0,0,0,2018,2018m12
2186,0,0,0,0,2019,2019m12
2186,0,0,0,0,2020,2020m12
2186,0,0,0,0,2021,2021m12
2186,0,0,0,0,2022,2022m12
2186,0,0,0,0,2023,2023m12
2310,0,,,,1996,1996m7
2310,0,,,,1997,1997m7
2310,0,,,,1998,1998m7
2310,0,0,0,0,1999,1999m7
2488,0,0,0,0,1996,1996m12
2488,1,1,1,0,1997,1997m12
2488,0,0,0,0,1998,1998m12
2488,0,0,0,0,1999,1999m12
2488,0,0,0,0,2000,2000m12
2488,0,0,0,0,2001,2001m12
2488,1,1,0,0,2002,2002m12
2488,1,1,0,0,2003,2003m12
2488,1,1,0,0,2004,2004m12
2488,1,1,0,0,2005,2005m12
2488,1,1,0,0,2006,2006m12
2488,1,1,0,0,2007,2007m12
2488,1,1,0,0,2008,2008m12
2488,1,1,0,0,2009,2009m12
2488,1,1,0,0,2010,2010m12
2488,1,1,0,0,2011,2011m12
2488,1,1,0,0,2012,2012m12
2488,1,1,0,0,2013,2013m12
2488,1,1,1,0,2014,2014m12
2488,1,1,1,0,2015,2015m12
2488,1,1,1,0,2016,2016m12
2488,1,1,1,0,2017,2017m12
2488,1,1,0,0,2018,2018m12
2488,1,1,0,0,2019,2019m12
2488,1,1,0,0,2020,2020m12
2488,1,1,0,0,2021,2021m12
2488,1,1,0,0,2022,2022m12
2488,1,1,0,0,2023,2023m12
2491,0,0,0,0,1996,1996m6
2491,0,0,0,0,1997,1997m6
2491,0,0,0,0,1998,1998m6
2491,0,0,0,0,1999,1999m6
2491,0,0,0,0,2000,2000m6
2491,0,0,0,0,2001,2001m6
2491,0,0,0,0,2002,2002m6
2491,0,0,0,0,2003,2003m6
2491,0,0,0,0,2004,2004m6
2491,0,0,0,0,2005,2005m6
2491,0,0,0,0,2006,2006m6
2491,0,0,0,0,2007,2007m6
2491,1,0,0,0,2008,2008m6
2491,1,0,1,0,2009,2009m6
2491,1,0,1,0,2010,2010m6
2491,1,1,1,0,2011,2011m6
2491,1,1,1,0,2012,2012m6
2491,1,1,1,0,2013,2013m6
2491,1,1,1,0,2014,2014m6
2589,0,0,0,0,1996,1996m12
2589,0,1,0,0,1997,1997m12
2589,0,1,0,0,1998,1998m12
2589,0,1,0,0,1999,1999m12
2589,0,1,0,0,2000,2000m12
2589,0,1,0,0,2001,2001m12
2589,0,1,0,0,2002,2002m12
2601,0,0,0,0,1996,1996m6
2601,0,0,0,0,1997,1997m6
2601,0,0,1,0,1998,1998m6
2601,0,0,1,0,1999,1999m6
2601,0,0,1,0,2000,2000m6
2601,1,0,1,0,2001,2001m6
2601,1,0,1,0,2002,2002m6
2601,1,0,1,0,2003,2003m6
2601,0,0,1,0,2004,2004m6
2601,1,1,1,0,2005,2005m6
2601,1,1,1,0,2006,2006m6
2601,1,1,1,0,2009,2009m6
2601,1,1,1,0,2010,2010m6
2852,0,0,0,1,1996,1996m6
2852,1,0,0,1,1997,1997m6
2852,1,0,0,1,1998,1998m6
2852,1,0,0,1,1999,1999m6
2852,1,0,0,1,2000,2000m6
2852,1,0,0,1,2001,2001m6
2852,1,0,0,1,2002,2002m6
2880,0,,,,1996,1996m2
2880,0,,,,1997,1997m2
2880,0,,,,1998,1998m2
2880,0,0,0,0,2006,2006m2
2969,0,0,0,0,1996,1996m9
2969,0,0,0,0,1997,1997m9
2969,0,0,0,0,1998,1998m9
2969,0,0,0,0,1999,1999m9
2969,0,0,0,0,2000,2000m9
2969,1,1,1,0,2001,2001m9
2969,1,1,1,0,2002,2002m9
2969,0,0,0,0,2003,2003m9
2969,0,0,0,0,2004,2004m9
2969,0,0,0,0,2005,2005m9
2969,0,0,0,0,2006,2006m9
2969,0,0,0,0,2007,2007m9
2969,0,0,0,0,2008,2008m9
2969,1,1,1,1,2009,2009m9
2969,1,1,1,1,2010,2010m9
2969,1,1,1,0,2011,2011m9
2969,1,1,1,0,2012,2012m9
2969,1,1,1,0,2013,2013m9
2969,1,1,1,0,2014,2014m9
2969,1,1,1,0,2015,2015m9
2969,1,1,1,0,2016,2016m9
2969,1,1,1,0,2017,2017m9
2969,1,1,1,0,2018,2018m9
2969,1,1,1,0,2019,2019m9
2969,1,1,1,0,2020,2020m9
2969,1,1,1,0,2021,2021m9
2969,1,1,1,0,2022,2022m9
2969,1,1,1,0,2023,2023m9
3000,0,0,0,0,1996,1996m12
3000,0,0,0,0,1997,1997m12
3000,0,0,0,0,1998,1998m12
3000,0,0,0,0,1999,1999m12
3000,0,0,0,0,2000,2000m12
3000,1,1,1,0,2001,2001m12
3000,1,1,1,0,2002,2002m12
3116,0,0,0,0,1996,1996m6
3116,0,,,,1996,1996m12
3116,0,,,,1997,1997m12
