code,population_pct,gdp_pct,labor_rate
LU,0.0083440000,0.0737900000,0.4727722700
LV,0.0230000000,0.0319790000,0.1661236600
MO,0.0084670000,0.0455660000,0.3078719167
MF,0.0003220000,0.0000000000,0.2384506743
MA,0.4693500000,0.1423040000,0.0568325000
MC,0.0004760000,0.0099930000,0.2603777400
MD,0.0296080000,0.0096830000,0.4293687367
MG,0.3939670000,0.0151670000,0.0879750000
MV,0.0065050000,0.0065170000,0.1479805700
MX,1.6128590000,1.4128490000,0.1223186200
MH,0.0004630000,0.0002280000,0.2208726875
MK,0.0224850000,0.0126560000,0.4138045000
ML,0.3016980000,0.0233060000,0.1151783300
MT,0.0070110000,0.0206400000,0.4869114300
MM,0.6717130000,0.0660750000,0.0100000000
ME,0.0076850000,0.0055730000,0.5041700000
MN,0.0434430000,0.0170670000,0.3881010000
MP,0.0005460000,0.0000000000,0.2602277100
MZ,0.4268360000,0.0219490000,0.1717660000
MR,0.0637130000,0.0091350000,0.1036000000
MU,0.0153540000,0.0155600000,0.3433760000
MW,0.2669010000,0.0125090000,0.1415000000
MY,0.4382480000,0.4422250000,0.0548630700
NC,0.0036070000,0.0000000000,0.2601850300
NE,0.3331740000,0.0168370000,0.1663269691
NG,2.8677700000,0.5660700000,0.0994300000
NI,0.0852410000,0.0165780000,0.0699000000
NL,0.2217690000,0.9637360000,0.6103146350
NO,0.0686780000,0.4645890000,0.5984308600
NP,0.3654490000,0.0366110000,0.3398533300
NR,0.0001470000,0.0001070000,0.2208726875
NZ,0.0651680000,0.2346690000,0.1921454800
OM,0.0650950000,0.0958840000,0.2607579100
PK,3.0968870000,0.4298300000,0.0613742900
PA,0.0556540000,0.0809170000,0.1097737500
PE,0.4217340000,0.2403300000,0.0242983400
PH,1.4277710000,0.4758830000,0.1184226214
PW,0.0002180000,0.0000000000,0.2208726875
PG,0.1303550000,0.0283880000,0.2208726875
PL,0.4505920000,0.6887100000,0.1783424400
PR,0.0394810000,0.1038270000,0.2384506743
KP,0.3265970000,0.0000000000,0.3078719167
PT,0.1318120000,0.2534780000,0.4905473500
PY,0.0854020000,0.0481570000,0.0425995800
PS,0.0651890000,0.0114700000,0.2594974800
PF,0.0034730000,0.0061480000,0.2602786000
QA,0.0352230000,0.1859010000,0.2625171000
RO,0.2348130000,0.2484310000,0.5373958400
RU,1.7690520000,1.6873800000,0.4293687367
RW,0.1757120000,0.0159710000,0.0533766700
SA,0.4350750000,0.9222220000,0.3397403654
SD,0.6217820000,0.0305370000,0.1663269691
SN,0.2280370000,0.0292750000,0.1238691000
SG,0.0744040000,0.4277580000,0.1880232500
SB,0.0100970000,0.0015490000,0.2208726875
SL,0.1065130000,0.0102860000,0.3254725000
SV,0.0781180000,0.0304150000,0.0916039400
SM,0.0004190000,0.0000000000,0.4903392500
SO,0.2342870000,0.0092960000,0.1180000000
RS,0.0811780000,0.0591440000,0.4348425000
SS,0.1472020000,0.0000000000,0.1663269691
ST,0.0029030000,0.0003370000,0.1663269691
SR,0.0078190000,0.0048110000,0.2065565740
SK,0.0668270000,0.1122180000,0.2669062500
SI,0.0262200000,0.0581860000,0.4742500000
SE,0.1302710000,0.5996490000,0.7923301400
SZ,0.0153180000,0.0050260000,0.2613950000
SX,0.0005340000,0.0015810000,0.2384506743
SC,0.0014960000,0.0021060000,0.0204100000
SY,0.3040910000,0.0000000000,0.2816262500
TC,0.0005740000,0.0027850000,0.2384506743
TD,0.2501860000,0.0180510000,0.1663269691
TG,0.1172750000,0.0092710000,0.2511725000
TH,0.8833070000,0.4931060000,0.0272400400
TJ,0.1305330000,0.0165850000,0.4293687367
TM,0.0923700000,0.0645620000,0.4293687367
TL,0.0172630000,0.0016850000,0.2600197600
